,date,modules,cnt
186,2020-08-17, UXUI-SP-VIS-II,3
187,2020-08-17, UXUI-UXI-DEFINE,1
188,2020-08-18, UXUI-PORTFOLIO-I,4
189,2020-08-18, UXUI-SP-VIS-I,1
190,2020-08-18, UXUI-UXI-DELIVER,1
191,2020-08-20, UXUI-SP-FE-II,3
192,2020-08-21, UXUI-CAREERS-BRAND,1
193,2020-08-21, UXUI-PORTFOLIO-I,1
194,2020-08-21, UXUI-UXI-DEFINE,2
195,2020-08-21, UXUI-UXI-DISCOVER,1
196,2020-08-23, UXUI-FUN-UXD,1
197,2020-08-24, UXUI-FUN-UXD,1
198,2020-08-24, UXUI-TEAM-PRESENT,1
199,2020-08-25, UXUI-FUN-UXD,2
200,2020-08-25, UXUI-UXI-DEFINE,1
201,2020-08-26, UXUI-ORIENTATION-DT,1
202,2020-08-26, UXUI-PORTFOLIO-I,1
203,2020-08-27, UXUI-ORIENTATION-DT,1
204,2020-08-27, UXUI-ORIENTATION-FLEX,1
205,2020-08-27, UXUI-UXI-DEFINE,1
206,2020-08-28, UXUI-FUN-DESIGN-AND-RESEARCH,1
207,2020-08-28, UXUI-PORTFOLIO-I,1
208,2020-08-28, UXUI-SP-VIS-III,1
209,2020-08-28, UXUI-UXI-DEFINE,1
210,2020-08-30, UXUI-FUN-UXD,1
211,2020-08-31, UXUI-SP-VIS-I,1
212,2020-08-31, UXUI-SUPPORT-NETWORK-IMMERSION,1
213,2020-09-01, UXUI-FUN-UXD,7
214,2020-09-01, UXUI-UXI-DISCOVER,1
215,2020-09-02, UXUI-FUN-UXD,1
216,2020-09-02, UXUI-UXI-DEVELOP,1
217,2020-09-03, UXUI-PORTFOLIO-I,1
218,2020-09-03, UXUI-UXI-DEFINE,1
219,2020-09-04, UXUI-FUN-UXD,1
220,2020-09-04, UXUI-UXI-DEFINE,1
221,2020-09-07, UXUI-TEAM-VIS,2
222,2020-09-08, UXUI-FUN-UXD,1
223,2020-09-08, development chckpt,1
224,2020-09-09, UXUI-ORIENTATION-DT,1
225,2020-09-10, UXUI-FUN-UXD,1
226,2020-09-11, UXUI-FUN-DESIGN-AND-RESEARCH,1
227,2020-09-11, UXUI-FUN-VIS,1
228,2020-09-13, UXUI-FUN-DESIGN-AND-RESEARCH,1
229,2020-09-14, UXUI-FUN-VIS,1
230,2020-09-14, UXUI-TEAM-DEFINE,1
231,2020-09-14, UXUI-UXI-DEFINE,1
232,2020-09-15, UXUI-FUN-DESIGN-AND-RESEARCH,1
233,2020-09-17, UXUI-FUN-VIS,1
234,2020-09-18, UXUI-FUN-VIS,1
235,2020-09-18, ux-start-today,1
236,2020-09-19, UXUI-UXI-DELIVER,1
237,2020-09-19, UXUI-UXI-DISCOVER,1
238,2020-09-20, UXUI-UXI-DELIVER,1
239,2020-09-21, UXUI-FUN-UXD,2
240,2020-09-21, UXUI-TEAM-DEFINE,1
241,2020-09-22, UXUI-FUN-UXD,2
242,2020-09-22, UXUI-TEAM-DEFINE,1
243,2020-09-22, UXUI-TEAM-VIS,1
244,2020-09-23, UXUI-FUN-UXD,1
245,2020-09-23, UXUI-UXI-DEFINE,1
246,2020-09-25, UXUI-TEAM-DEFINE,1
247,2020-09-26, UXUI-SP-VIS-III,2
248,2020-09-26, UXUI-UXI-DISCOVER,1
249,2020-09-27, UXUI-FUN-DESIGN-AND-RESEARCH,1
250,2020-09-27, UXUI-FUN-UXD,1
251,2020-09-27, UXUI-TEAM-DEFINE,1
252,2020-09-27, UXUI-UXI-DELIVER,2
253,2020-09-28, UXUI-ORIENTATION-IMMERSION,1
254,2020-09-28, UXUI-SP-VIS-I,1
255,2020-09-30, UXUI-FUN-ASSESS,1
256,2020-09-30, UXUI-FUN-DESIGN-AND-RESEARCH,1
257,2020-09-30, UXUI-ORIENTATION-DT,1
258,2020-09-30, UXUI-UXI-DELIVER,1
259,2020-09-30, UXUI-UXI-DISCOVER,4
260,2020-10-01, UXUI-FUN-UXD,1
261,2020-10-01, UXUI-TEAM-DEFINE,1
262,2020-10-01, UXUI-UXI-DEFINE,2
263,2020-10-03, UXUI-FUN-UXD,1
264,2020-10-03, UXUI-UXI-DEFINE,1
265,2020-10-04, UXUI-ORIENTATION-FLEX,1
266,2020-10-05, UXUI-UXI-DEFINE,3
267,2020-10-05, uxui-careers-personal-branding,1
268,2020-10-06, UXUI-FUN-VIS,1
269,2020-10-07, UXUI-UXI-DEFINE,1
270,2020-10-07, UXUI-UXI-DEVELOP,1
271,2020-10-08, UXUI-FUN-UXD,1
272,2020-10-08, UXUI-UXI-DEVELOP,3
273,2020-10-09, UXUI-SP-FE-II,2
274,2020-10-09, UXUI-UXI-ASSESS,1
275,2020-10-10, UXUI-SP-FE-II,1
276,2020-10-10, UXUI-UXI-DEVELOP,1
277,2020-10-12, UXUI-FUN-UXD,2
278,2020-10-12, UXUI-ORIENTATION-IMMERSION,2
279,2020-10-12, UXUI-UXI-DELIVER,2
280,2020-10-13, UXUI-FUN-UXD,1
281,2020-10-13, UXUI-TEAM-DEFINE,1
282,2020-10-13, UXUI-UXI-DELIVER,1
283,2020-10-14, UXUI-FUN-UXD,1
284,2020-10-15, UXUI-SP-FE-II,1
285,2020-10-15, UXUI-UXI-DISCOVER,1
286,2020-10-16, UXUI-FUN-UXD,5
287,2020-10-16, UXUI-PORTFOLIO-I,1
288,2020-10-16, UXUI-TEAM-PRESENT,1
289,2020-10-16, UXUI-TEAM-VIS,1
290,2020-10-17, UXUI-TEAM-DEFINE,1
291,2020-10-19, UXUI-FUN-DESIGN-AND-RESEARCH,1
292,2020-10-19, UXUI-SPEC-UR-I,1
293,2020-10-19, UXUI-SUPPORT-NETWORK-IMMERSION,1
294,2020-10-19, UXUI-UXI-DEFINE,1
295,2020-10-19, UXUI-UXI-DISCOVER,2
296,2020-10-20, UXUI-FUN-DESIGN-AND-RESEARCH,2
297,2020-10-20, UXUI-FUN-UXD,1
298,2020-10-20, UXUI-UXI-DEFINE,1
299,2020-10-20, UXUI-UXI-DELIVER,1
300,2020-10-21, UXUI-FUN-UXD,1
301,2020-10-21, UXUI-ORIENTATION-FLEX,1
302,2020-10-21,mat section,1
303,2020-10-22, UXUI-FUN-DESIGN-AND-RESEARCH,2
304,2020-10-22, UXUI-FUN-UXD,1
305,2020-10-22, UXUI-TEAM-PRESENT,2
306,2020-10-23, UXUI-UXI-DEFINE,1
307,2020-10-23, UXUI-UXI-DEVELOP,1
308,2020-10-23, UXUI-UXI-DISCOVER,1
309,2020-10-25, UXUI-UXI-DEFINE,1
310,2020-10-26, UXUI-FUN-VIS,1
311,2020-10-26, UXUI-ORIENTATION-DT,1
312,2020-10-26, UXUI-SP-FE-II,1
313,2020-10-26, UXUI-TEAM-ASSESS-IMMERSION,1
314,2020-10-26, UXUI-TEAM-PRESENT,1
315,2020-10-26, UXUI-UXI-DELIVER,1
316,2020-10-27, UXUI-CAREERS-BRAND,1
317,2020-10-27, UXUI-PORTFOLIO-I,1
318,2020-10-27, UXUI-TEAM-DEFINE,1
319,2020-10-27, UXUI-TEAM-VIS,1
320,2020-10-28, UXUI-FUN-VIS,1
321,2020-10-28, UXUI-PORTFOLIO-I,1
322,2020-10-28, UXUI-UXI-DEFINE,1
323,2020-10-29, UXUI-SP-VIS-II,1
324,2020-10-30, UXUI-SP-FE-II,1
325,2020-10-30, UXUI-UXI-DEFINE,2
326,2020-10-31, UXUI-FUN-VIS,1
327,2020-10-31, UXUI-UXI-DEFINE,2
328,2020-10-31, UXUI-UXI-DEVELOP,1
329,2020-11-02, UXUI-SP-FE-II,3
330,2020-11-02, UXUI-UXI-DEFINE,1
331,2020-11-02, uxui-careers-networking,1
332,2020-11-03, UXUI-FUN-UXD,3
333,2020-11-03, UXUI-SP-FE-II,1
334,2020-11-03, UXUI-SP-VIS-I,2
335,2020-11-03, UXUI-TEAM-DEFINE,1
336,2020-11-03, UXUI-UXI-DEFINE,1
337,2020-11-03, UXUI-UXI-DISCOVER,1
338,2020-11-04, Q4 project,1
339,2020-11-04, UXUI-FUN-ASSESS,1
340,2020-11-04, UXUI-SP-FE-III,1
341,2020-11-04, UXUI-SP-VIS-I,2
342,2020-11-04, UXUI-TEAM-PRESENT,1
