date,modules,cnt
2019-08-04, DABC-EXCEL-FOUNDATIONS-4,2
2019-08-04, DABC-PYTHON-3,2
2019-08-05, DABC-ART-PRESENT-DATA,1
2019-08-05, DABC-CAPSTONE-2,1
2019-08-05, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-05, DABC-EXCEL-FOUNDATIONS-3,1
2019-08-05, DABC-STATS-EXCEL,1
2019-08-06, DABC-STATS-EXCEL,1
2019-08-07, DABC-EXCEL-FOUNDATIONS-1,1
2019-08-08, DABC-EXCEL-FOUNDATIONS-1,3
2019-08-08, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-08, DABC-STATS-EXCEL,1
2019-08-09, DABC-STATS-EXCEL,1
2019-08-10, DABC-ACE-BEHAVE,1
2019-08-10, DABC-EXCEL-FOUNDATIONS-2,2
2019-08-12, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-13, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-13, DABC-ORIENT,1
2019-08-14, DABC-EXCEL-FOUNDATIONS-2,2
2019-08-14, DABC-EXCEL-FOUNDATIONS-4,1
2019-08-15, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-15, DABC-SQL-1,1
2019-08-16, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-17, DABC-EXCEL-FOUNDATIONS-2,3
2019-08-17, DABC-TABLEAU-1,1
2019-08-18, DABC-EXCEL-FOUNDATIONS-1,1
2019-08-19, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-20, DABC-EXCEL-FOUNDATIONS-2,2
2019-08-20, DABC-EXCEL-FOUNDATIONS-3,4
2019-08-22, DABC-EXCEL-FOUNDATIONS-4,1
2019-08-23, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-26, DABC-EXCEL-FOUNDATIONS-2,4
2019-08-27, DABC-CAPSTONE-3,1
2019-08-28, DABC-SQL-1,1
2019-08-29, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-29, DABC-TABLEAU-2,1
2019-08-30, DABC-EXCEL-FOUNDATIONS-1,1
2019-08-30, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-30, DABC-TABLEAU-2,1
2019-08-31, DABC-EXCEL-FOUNDATIONS-4,1
2019-09-04, DABC-EXCEL-FOUNDATIONS-2,1
2019-09-05, DABC-CAREERS-NETWORKING,1
2019-09-05, DABC-EXCEL-FOUNDATIONS-3,1
2019-09-05, DABC-EXCEL-FOUNDATIONS-4,1
2019-09-05, DABC-SQL-2,1
2019-09-09, DABC-EXCEL-FOUNDATIONS-4,1
2019-09-09, DABC-ORIENTATION,1
2019-09-10, DABC-PYTHON-3,1
2019-09-10, DABC-SQL-3,1
2019-09-10, DABC-STATS-EXCEL,1
2019-09-11, DABC-PYTHON-2,1
2019-09-11, DABC-SQL-2,1
2019-09-12, DABC-TABLEAU-1,1
2019-09-17, DABC-SQL-1,1
2019-09-18, DABC-EXCEL-FOUNDATIONS-4,2
2019-09-20, DABC-STATS-EXCEL,1
2019-09-23, DABC-ACE-CASE,1
2019-09-23, DABC-ART-PRESENT-DATA,1
2019-09-23, DABC-SQL-3,1
2019-09-24, DABC-SQL-2,1
2019-09-25, DABC-ORIENTATION,1
2019-09-26, DABC-RETAIL-SALES,2
2019-09-26, DABC-TRIAL-ORIENT,1
2019-09-27, DABC-EXCEL-FOUNDATIONS-2,1
2019-09-29, DABC-EXCEL-FOUNDATIONS-2,1
2019-10-04, DABC-EXCEL-FOUNDATIONS-4,1
2019-10-04, DABC-STATS-EXCEL,1
2019-10-07, DABC-EXCEL-FOUNDATIONS-1,1
2019-10-08, DABC-ACE-CASE,1
2019-10-08, DABC-EXCEL-FOUNDATIONS-2,1
2019-10-09, DABC-CAREERS-NETWORKING,1
2019-10-11, DABC-RETAIL-SALES,1
2019-10-12, DABC-ART-PRESENT-DATA,1
2019-10-12, DABC-CAREERS-NETWORKING,1
2019-10-12, DABC-ORIENTATION,2
2019-10-12, DABC-SUPPORT,1
2019-10-13, DABC-EXCEL-FOUNDATIONS-1,1
2019-10-13, DABC-EXCEL-FOUNDATIONS-4,1
2019-10-14, DABC-EXCEL-FOUNDATIONS-2,1
2019-10-18, DABC-ORIENTATION,1
2019-10-18, DABC-SQL-3,1
2019-10-20, DABC-STATS-EXCEL,1
2019-10-21, DABC-MARKETING-ECOMMERCE,1
2019-10-21, DABC-STATS-EXCEL,1
2019-10-23, DABC-CAREERS-PROFESSIONAL-BRANDING,1
2019-10-23, DABC-TABLEAU-1,1
2019-10-24, DABC-ACE-CASE,1
2019-10-25, DABC-ORIENTATION,2
2019-10-25, DABC-TABLEAU-2,1
2019-10-27, DABC-TABLEAU-1,2
2019-10-28, DABC-SQL-EXAM,1
2019-10-28, DABC-STATS-EXCEL,1
2019-10-29, DABC-EXCEL-FOUNDATIONS-4,1
2019-10-31, DABC-TABLEAU-1,2
2019-10-31, DABC-TABLEAU-2,1
2019-11-01, DABC-STATS-EXCEL,1
2019-11-01, DABC-SUPPORT,1
2019-11-02, DABC-TABLEAU-2,2
2019-11-05, DABC-ACE-CASE,1
2019-11-06, DABC-EXCEL-FOUNDATIONS-1,1
2019-11-06, SQL foundations 3,1
2019-11-12, DABC-EXCEL-FOUNDATIONS-2,1
2019-11-13, DABC-EXCEL-FOUNDATIONS-1,1
2019-11-13, DABC-STATS-EXCEL,1
2019-11-14, DAI-ORIENTATION,1
2019-11-15, DABC-STATS-EXCEL,1
2019-11-15, DAI-ORIENTATION,3
2019-11-16, DABC-STATS-EXCEL,1
2019-11-17, DABC-EXCEL-FOUNDATIONS-1,2
2019-11-17, DABC-PYTHON-1,1
2019-11-17, DABC-PYTHON-2,1
2019-11-18, DABC-EXCEL-FOUNDATIONS-1,3
2019-11-18, DABC-EXCEL-FOUNDATIONS-2,1
2019-11-18, DABC-EXCEL-FOUNDATIONS-4,1
2019-11-19, DABC-STATS-EXCEL,1
2019-11-20, DABC-EXCEL-FOUNDATIONS-1,1
2019-11-20, DABC-EXCEL-FOUNDATIONS-4,2
2019-11-21, DABC-EXCEL-FOUNDATIONS-2,1
2019-11-21, DABC-EXCEL-FOUNDATIONS-4,1
2019-11-21, DABC-MARKETING-ECOMMERCE,1
2019-11-21, DABC-STATS-EXCEL,2
2019-11-22, DABC-EXCEL-FOUNDATIONS-2,1
2019-11-22, DABC-RETAIL-SALES,2
2019-11-22, DABC-STATS-EXCEL,1
2019-11-23, DABC-EXCEL-FOUNDATIONS-2,3
2019-11-23, DABC-TABLEAU-1,1
2019-11-25, DABC-EXCEL-FOUNDATIONS-3,1
2019-11-26, DABC-MARKETING-ECOMMERCE,1
2019-11-27, DABC-EXCEL-FOUNDATIONS-4,1
2019-11-27, DABC-STATS-EXCEL,1
2019-11-28, DABC-ORIENTATION,1
2019-12-02, DABC-EXCEL-FOUNDATIONS-4,1
2019-12-02, DABC-STATS-EXCEL,1
2019-12-03, DABC-CAREERS-JOBS,1
2019-12-03, DABC-SQL-1,1
2019-12-03, DABC-STATS-EXCEL,1
2019-12-04, DABC-STATS-EXCEL,1
2019-12-05, DABC-EXCEL-FOUNDATIONS-3,1
2019-12-05, DABC-SQL-1,1
