,date,modules,cnt
169,2019-09-03, DS-GIT,1
170,2019-09-03, DSBC-ORIENTATION-DSI,1
171,2019-09-04, DSBC-CLASSIFICATIONS,1
172,2019-09-04, DSBC-STATS-1,1
173,2019-09-04, DSF-ORIENTATION,3
174,2019-09-05, DSBC-MODEL-PREP,1
175,2019-09-05, DSBC-PROFESSIONAL-BRANDING,1
176,2019-09-05, DSBC-STATS-1,1
177,2019-09-05, DSF-ORIENTATION,1
178,2019-09-05, DSF-SUPPORT,1
179,2019-09-06, DSBC-STATS-1,3
180,2019-09-06, DSF-SUPPORT,2
181,2019-09-07, DSBC-INTERVIEWING,1
182,2019-09-07, DSBC-PYTHON-1,6
183,2019-09-07, DSF-ORIENTATION,1
184,2019-09-08, DSBC-SQL-FOUNDATIONS-1,2
185,2019-09-09, DSBC-PYTHON-1,1
186,2019-09-09, DSBC-PYTHON-4,1
187,2019-09-09, DSF-ORIENTATION,1
188,2019-09-10, DSBC-EXP-DES-V2,1
189,2019-09-10, DSBC-SQL-FOUNDATIONS-3,1
190,2019-09-10, DSBC-UNSUPERVISED-NLP,1
191,2019-09-10, DSF-ORIENTATION,2
192,2019-09-11, DS-PHONE-SCREEN,1
193,2019-09-11, DSBC-PYTHON-4,1
194,2019-09-11, DSBC-STATS-1,1
195,2019-09-12, DSBC-FUNDAMENTALS,1
196,2019-09-12, DSBC-MODEL-PREP,1
197,2019-09-12, DSBC-ORIENTATION-DSI,1
198,2019-09-12, dictionary drill ,1
199,2019-09-13, DSBC-PYTHON-SELF-SUFF,1
200,2019-09-14, DSBC-MODEL-PREP,1
201,2019-09-14, DSBC-PYTHON-1,1
202,2019-09-15, DSBC-MODEL-PREP,1
203,2019-09-15, DSBC-SQL-FOUNDATIONS-3,1
204,2019-09-16, DSBC-MODEL-PREP,6
205,2019-09-17, DSBC-PYTHON-SELF-SUFF,1
206,2019-09-17, DSBC-SQL-FOUNDATIONS-3,1
207,2019-09-18, DSBC-ALGORITHMS-DATA-STRUCTURES,1
208,2019-09-18, DSBC-EXP-DES-V2,1
209,2019-09-18, DSBC-PYTHON-1,1
210,2019-09-19, DSBC-BIG-DATA,1
211,2019-09-19, DSBC-MODEL-PREP,1
